stage,hole_cards,comm_cards,hand_potential,hand_strength,action
PREFLOP,"['Jh', 'Jc']",-1,0.86,-1, 'Player IlxxxlI raises (7)'
PREFLOP,"['4c', 'Qh']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Ts', '9h']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['4h', '7d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9s', '8c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['4h', '7d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6d', 'Ac']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jd', '7d']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['5c', 'Jc']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['7c', '7h']",-1,0.16,-1, 'Player IlxxxlI calls (1)'
FLOP,"['7c', '7h']","['6c', '5h', '7s']",0.7148217636022514,6, 'Player IlxxxlI checks'
TURN,"['7c', '7h']","['6c', '5h', '7s', 'Kc']",0.7201822567676226,6, 'Player IlxxxlI checks'
PREFLOP,"['9c', 'Jd']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['9s', '5s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Th', 'Td']",-1,0.58,-1,
PREFLOP,"['Kc', '4c']",-1,-0.05,-1, 'Player IlxxxlI raises (4)'
PREFLOP,"['Tc', '5c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8h', 'Jc']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['2d', 'Qs']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['2d', '9s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '7h']",-1,-0.06,-1,Player IlxxxlI folds
PREFLOP,"['3d', 'Ah']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Qc', 'Th']",-1,-0.02,-1, 'Player IlxxxlI calls (1)'
FLOP,"['Qc', 'Th']","['Kc', 'Tc', '3d']",0.42803537925489143,8, 'Player IlxxxlI checks'
TURN,"['Qc', 'Th']","['Kc', 'Tc', '3d', 'Td']",0.7473867595818815,6, 'Player IlxxxlI bets (8)'
PREFLOP,"['2d', '3d']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['5c', '9d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '4c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['5s', '6h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['5c', '3s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Js', 'Ks']",-1,0.29,-1,'Player IlxxxlI raises (1.75)'
FLOP,"['Js', 'Ks']","['5c', 'Qc', '6d']",0.1015813454837845,9, 'Player IlxxxlI checks'
PREFLOP,"['3d', 'Ts']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8d', 'Ah']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['8h', 'Ks']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['6c', '4c']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['9d', '9c']",-1,0.38,-1, 'Player IlxxxlI raises (1.75)'
PREFLOP,"['9s', 'Qd']",-1,-0.08,-1, 'Player IlxxxlI calls (3)'
